experiment_name,model_name,accuracy,accuracy_interval_lower,accuracy_interval_upper,precision,precision_interval_lower,precision_interval_upper,recall,recall_interval_lower,recall_interval_upper,f1_score,f1_score_interval_lower,f1_score_interval_upper
experiment #1,SVM,0.7403210576015109,0.7439257136872662,0.7450267419962947,0.7403210576015109,0.3719628568436331,0.3725133709981473,1.0,,,0.8507867607162235,0.4265809864735921,0.4269428859235195
experiment #1,Decision Tree,0.7875354107648725,0.7884076550616563,0.8089451287597229,0.865359477124183,0.7235221450122232,0.7492376825418358,0.8443877551020408,0.7262413802018378,0.7499905666381689,0.854744996772111,0.7248516747090498,0.748684693629032
experiment #2,SVM,0.9792256846081208,0.9752089717438998,0.9847546477589004,0.978643216080402,0.9718147349202408,0.9850806398203172,0.9936224489795918,0.961222507054954,0.9764495377101772,0.9860759493670886,0.9670809473593784,0.9797553482428848
experiment #2,Decision Tree,0.9782813975448535,0.974335532368822,0.9826070791802024,0.9847133757961783,0.9640845177050628,0.9767253347048408,0.985969387755102,0.9673722578108824,0.979471067659267,0.9853409815168898,0.9663857630023814,0.9772336431527036
experiment #3,SVM,0.7403210576015109,0.7439257136872662,0.7450267419962947,0.7403210576015109,0.3719628568436331,0.3725133709981473,1.0,,,0.8507867607162235,0.4265809864735921,0.4269428859235195
experiment #3,Decision Tree,0.6997167138810199,0.7386916181563533,0.7612078004690347,0.8057742782152231,0.6594832466183157,0.6876055156187914,0.7831632653061225,0.6613772812902988,0.6925842083581425,0.7943078913324709,0.660403490112516,0.689134614516453
experiment #4,SVM,0.980169971671388,0.9766322926927986,0.9852181192628316,0.979874213836478,0.9732548898355916,0.9850722591565088,0.9936224489795918,0.9630718013799536,0.978297857916151,0.986700443318556,0.9689621335007752,0.9804294629196708
experiment #4,Decision Tree,0.9792256846081208,0.9652981974315702,0.97654008769166,0.9847328244274808,0.9533250292593132,0.9704750717575326,0.9872448979591836,0.9536987439172508,0.9703480564445368,0.9859872611464968,0.9543532194762208,0.9692370194121196
experiment #5,SVM,0.7403210576015109,0.7439257136872662,0.7450267419962947,0.7403210576015109,0.3719628568436331,0.3725133709981473,1.0,,,0.8507867607162235,0.4265809864735921,0.4269428859235195
experiment #5,Decision Tree,0.6118980169971672,0.6199652221608085,0.6344279012118776,0.7311028500619579,0.4931805581777012,0.5231800680589892,0.7525510204081632,0.4945496612561958,0.5231796372713858,0.7416719044626021,0.4935161719124781,0.5231564237464847
experiment #6,SVM (mean),0.9811142587346552,0.9595077880644348,0.9690986962241834,0.9847715736040608,0.9605889560533938,0.97354240096295,0.9897959183673468,0.930312214714934,0.9469502550526852,0.9872773536895676,0.945009392643542,0.9582290119573976
experiment #6,SVM (EM),0.9811142587346552,0.980407844900928,0.9878605147666544,0.9798994974874372,0.9773569269608436,0.987605551843018,0.9948979591836736,0.969729703998554,0.9817357329904948,0.9873417721518988,0.9740379404804688,0.9839317387016288
experiment #6,Decision Tree,0.9782813975448535,0.9747232848288924,0.9856198331937208,0.9810366624525916,0.9650032457590372,0.9822308970017504,0.9897959183673468,0.9678188591591532,0.9812943180500168,0.9853968253968254,0.9668673739364156,0.9811232427716938
experiment #7,SVM (mean),0.9820585457979226,0.9798161656872956,0.9861880430368904,0.9835651074589128,0.975233955141731,0.9854281839599518,0.9923469387755102,0.969853560548749,0.9801082500945326,0.987936507936508,0.973334489082634,0.9817448611032916
experiment #7,SVM (EM),0.9820585457979226,0.9795120137861494,0.9872454852330038,0.9835651074589128,0.9751367390286346,0.986915673064619,0.9923469387755102,0.9696478739789488,0.9808132278298916,0.987936507936508,0.9729268560808904,0.9831136313394376
experiment #7,Decision Tree,0.9773371104815864,0.9718798534427432,0.9843073277820666,0.981012658227848,0.959292315508118,0.9801400596645362,0.9885204081632653,0.9662419669757696,0.9805633892704076,0.9847522236340532,0.9633087356698024,0.979458673147967
experiment #8,SVM (mean),0.9830028328611898,0.9602462291264522,0.9679893167593414,0.9848101265822784,0.9614616421248106,0.9725557654463652,0.9923469387755102,0.9306121380930142,0.9459259308031456,0.98856416772554,0.9459542172591888,0.9567520646783048
experiment #8,SVM (EM),0.9811142587346552,0.9803433640192912,0.988304494168104,0.9798994974874372,0.976762002984082,0.987901480408274,0.9948979591836736,0.9707316566078028,0.9819669013792224,0.9873417721518988,0.9739884077124152,0.9845340325580364
experiment #8,Decision Tree,0.9763928234183192,0.9735403113981482,0.9856707311527668,0.9809885931558936,0.9627555987976792,0.9822301715426216,0.9872448979591836,0.9664425523153471,0.9823980648570788,0.9841068022886204,0.9653544542616004,0.9812171704132568
experiment #9,SVM (mean),0.9820585457979226,0.979388069475889,0.9858614222671648,0.9835651074589128,0.974960578256833,0.98517285945327,0.9923469387755102,0.9689164166010368,0.979569359183857,0.987936507936508,0.9727479045128972,0.981307968942259
experiment #9,SVM (EM),0.9830028328611898,0.979235706729478,0.9871430071129448,0.9835858585858586,0.9748458946390364,0.9869134416958508,0.9936224489795918,0.9693958942342198,0.9803244668338796,0.9885786802030456,0.9725654300622022,0.9829695035626304
experiment #9,Decision Tree,0.9773371104815864,0.9720358227895144,0.9849082154456748,0.981012658227848,0.9595782539726392,0.98166917569318,0.9885204081632653,0.96674298009129,0.980086575708126,0.9847522236340532,0.9635159418794254,0.9802227411445662
experiment #10,SVM (mean),0.975448536355052,0.977472676494738,0.9855098109325902,0.972568578553616,0.9756289967482844,0.9863625428973386,0.9948979591836736,0.962882258147846,0.9777655925236184,0.9836065573770492,0.9699793612613063,0.9807835863532046
experiment #10,SVM (EM),0.9820585457979226,0.9797927154469062,0.987342142062813,0.9847908745247148,0.9749516158260524,0.986368309877114,0.9910714285714286,0.970906712262655,0.9812689975552096,0.9879211697393516,0.9733397940734784,0.9832616711783544
experiment #10,Decision Tree,0.9782813975448535,0.9751809921183148,0.9866736998958096,0.983481575603558,0.9649968876941516,0.9826179253371334,0.9872448979591836,0.9687481645158176,0.9842963963015052,0.9853596435391472,0.9675005392622053,0.9825548483161816
experiment #11,SVM (mean),0.9820585457979226,0.9787719012113556,0.9860988053549676,0.9823455233291298,0.973795176034059,0.9856353535576478,0.9936224489795918,0.9686862849149096,0.9795402371402916,0.9879518072289156,0.9719749141360088,0.981603764707511
experiment #11,SVM (EM),0.9820585457979226,0.9799746785338552,0.987538250809512,0.9835651074589128,0.9757068254438578,0.9878624443977564,0.9923469387755102,0.9702418739412048,0.9807261995311968,0.987936507936508,0.9735507011643147,0.983479011375728
experiment #11,Decision Tree,0.980169971671388,0.97339745281836,0.9846779475454448,0.9847522236340532,0.9620913128038124,0.9805824220326216,0.9885204081632653,0.9676701969360983,0.9803833571263342,0.986632718014004,0.965239856794516,0.979912974841289
